Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"Twin Peaks - Residential Tower 1","嘉悅 - 塔樓1","9 Chi Shin Street, Tseung Kwan O, N.T.","新界將軍澳至善街9號","34-06729","2012",2017-01-18,2027-01-17,"","844899","22.30446","114.26064","818392"
"Twin Peaks - Residential Tower 2","嘉悅 - 塔樓2","9 Chi Shin Street, Tseung Kwan O, N.T.","新界將軍澳至善街9號","34-06730","2012",2017-01-18,2027-01-17,"","844931","22.30446","114.26095","818392"
"Chu Hai College of Higher Education","珠海學院","80 Castle Peak Road, Castle Peak Bay, Tuen Mun, N.T.","新界屯門青山公路青山灣段80號","34-07185","2012 (Rev.1)",2017-01-24,2027-01-23,"","816762","22.37549","113.98748","826268"
"La Lumiere","悅目","9 Lee Kung Street, Hung Hom, Kowloon","九龍紅磡利工街9號","34-05982","2012",2017-01-25,2027-01-24,"","837300","22.30948","114.18689","818946"
"Parc Inverness (Clubhouse)","賢文禮士(會所)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01614","2012",2017-01-26,2027-01-25,"","837227","22.3338","114.18618","821639"
"Parc Inverness (Basement Car Park)","賢文禮士(地庫停車場)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01615","2012",2017-01-26,2027-01-25,"","837227","22.3338","114.18618","821639"
"Yin Tat House","賢達樓","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01355","2012",2017-01-26,2027-01-25,"","842318","22.32112","114.23559","820236"
"Hau Tat House","孝達樓","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01356","2012",2017-01-26,2027-01-25,"","842374","22.32097","114.23614","820219"
"Him Tat House","謙達樓","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01891","2012",2017-01-26,2027-01-25,"","842429","22.32053","114.23668","820170"
"On Tat Estate (Shuttle Lift Tower & Footbridge)","安達邨(穿梭升降機大樓及天橋)","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-07343","2012",2017-01-26,2027-01-25,"","842090","22.32133","114.23338","820259"
"Double Cove Phase 5 (Double Cove Summit) - Block 9","迎海第5期〈迎海‧御峰〉─第9座","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01531","2012",2017-02-03,2027-02-02,"","842787","22.43199","114.2402","832513"
"Double Cove Phase 5 (Double Cove Summit) - Block 10","迎海第5期〈迎海‧御峰〉─第10座","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01532","2012",2017-02-03,2027-02-02,"","842802","22.43217","114.24034","832533"
"Double Cove Phase 5 (Double Cove Summit) - Block 11","迎海第5期〈迎海‧御峰〉─第11座","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01533","2012",2017-02-03,2027-02-02,"","842825","22.43241","114.24057","832559"
"Double Cove Phase 5 (Double Cove Summit) - Block 12","迎海第5期〈迎海‧御峰〉─第12座","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01534","2012",2017-02-03,2027-02-02,"","842844","22.43257","114.24075","832577"
"Double Cove Phase 5 (Double Cove Summit) - Block 15","迎海第5期〈迎海‧御峰〉─第15座","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01535","2012",2017-02-03,2027-02-02,"","842863","22.43271","114.24094","832593"
"Double Cove Phase 5 (Double Cove Summit) - Podium","迎海第5期〈迎海‧御峰〉─平台","8 Wu Kai Sha Road, Ma On Shan, N.T.","新界馬鞍山烏溪沙路8號","34-01526","2012",2017-02-07,2027-02-06,"","842959","22.43178","114.24187","832490"
"Proposed Composite Development at K.I.L. 11229","匯萃","7 Kwun Chung Street, Jordan, Kowloon","九龍佐敦官涌街7號","34-16803","2012 (Rev.1)",2017-02-08,2027-02-07,"","835406","22.30352","114.16851","818285"
"Extension Building, Kiangsu-Chekiang College (Shatin)","沙田蘇浙公學，新翼","7 Fung Shun Street, Wo Che Estate, Shatin, N.T.","新界沙田禾輋村豐順街7號","34-11160","2012 (Rev.1)",2017-02-22,2027-02-21,"","838006","22.38853","114.19375","827699"
"Taste of Graham","Taste of Graham","No. 23 Gage Street, Central, Hong Kong","香港中環結志街23號","34-16580","2012 (Rev.1)",2017-02-23,2027-02-22,"","833827","22.28283","114.15319","815994"
"Yat Long House, Long Ching Estate","朗晴邨 日朗樓","9 Wang Chau Road, Yuen Long, N.T.","新界元朗橫洲路9號","34-05893","2012",2017-02-23,2027-02-22,"","821001","22.44705","114.02856","834187"
"Ching Long House, Long Ching Estate","朗晴邨 青朗樓","9 Wang Chau Road, Yuen Long, N.T.","新界元朗橫洲路9號","34-05894","2012",2017-02-23,2027-02-22,"","821010","22.44658","114.02865","834135"
"189 Portland","189 Portland","Nos. 187-191 Portland Street, Mong Kok, Kowloon","九龍旺角砵蘭街187-191號","34-07893","2012 (Rev.1)",2017-02-24,2027-02-23,"","835459","22.31687","114.16903","819764"
"Costume Services Building","Costume Services Building","Chok Ko Wan Lot No. 1, Lantau Island, N.T.","新界大嶼山竹篙灣地段1號","34-16026","2012 (Rev.1)",2017-02-27,2027-02-26,"","836590","22.3003","114.18","817929"
"11 Ching Sau Lane - Carpark Floor and G/F Podium","靜修里11號 - 停車場樓層及地下平台","No.11 Ching Sau Lane, Chung Hom Kok, Hong Kong","香港舂坎角靜修里11號","34-07571","2012 (Rev.1)",2017-02-28,2027-02-27,"","839115","22.21966","114.20449","809000"
"11 Ching Sau Lane - Residential Block 1","靜修里11號 - 住宅第一座","No.11 Ching Sau Lane, Chung Hom Kok, Hong Kong","香港舂坎角靜修里11號","34-17152","2012 (Rev.1)",2017-02-28,2027-02-27,"","839115","22.21966","114.20449","809000"
"11 Ching Sau Lane - Residential Block 2","靜修里11號 - 住宅第二座","No.11 Ching Sau Lane, Chung Hom Kok, Hong Kong","香港舂坎角靜修里11號","34-17153","2012 (Rev.1)",2017-02-28,2027-02-27,"","839115","22.21966","114.20449","809000"
"Twin Peaks - Podium","嘉悅 - 平台","9 Chi Shin Street, Tseung Kwan O, N.T.","新界將軍澳至善街9號","34-06731","2012",2017-02-28,2027-02-27,"","839386","22.41109","114.20716","830198"
"A 2-Storey Ancillary Office and Changing Room Building, Cathay Pacific Cargo Terminal","A 2-Storey Ancillary Office and Changing Room Building, Cathay Pacific Cargo Terminal","3 Chun Wan Road, Hong Kong International Airport, N.T.","新界香港國際機場駿運路3號","34-17431","2012 (Rev.1)",2017-02-28,2027-02-27,"","810296","22.29817","113.92483","817715"
"Chinese International School (New Extension)","漢基國際學校(新大樓)","1-3 Hau Yuen Path, Braemar Hill, Hong Kong","香港寶馬山校園徑1-3號","34-15794","2012 (Rev.1)",2017-03-01,2027-02-28,"","838438","22.28338","114.19793","816055"
"Parc Inverness (Tower 1)","賢文禮士(第1座)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01616","2012",2017-03-03,2027-03-02,"","837227","22.3338","114.18618","821639"
"Parc Inverness (Tower 2)","賢文禮士(第2座)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01617","2012",2017-03-03,2027-03-02,"","837253","22.33391","114.18644","821651"
"Parc Inverness (Tower 3)","賢文禮士(第3座)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01618","2012",2017-03-03,2027-03-02,"","837265","22.33373","114.18655","821631"
"Parc Inverness (Tower 5)","賢文禮士(第5座)","38 Inverness Road, Kowloon Tong, Kowloon","九龍九龍塘延文禮士道38號","34-01619","2012",2017-03-03,2027-03-02,"","837254","22.33333","114.18644","821586"
"Corinthia By The Sea - Tower 1","帝景灣第一座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-07175","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 2","帝景灣第二座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-07275","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 3","帝景灣第三座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-07276","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 5","帝景灣第五座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-06945","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 6","帝景灣第六座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-06970","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 7","帝景灣第七座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-06971","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Corinthia By The Sea - Tower 8","帝景灣第八座","23 Tong Yin Street, Tseung Kwan O, N.T.","新界將軍澳唐賢街23號","34-07279","2012 (Rev.1)",2017-03-09,2027-03-08,"","844745","22.30291","114.25914","818220"
"Annex Complex at WF Joseph Lee Primary School","和富慈善基金李宗德小學新翼","9 Tin Fai Road, Yuen Long, Tin Shui Wai, N.T.","新界元朗天水圍天暉路9號","34-16969","2012 (Rev.1)",2017-03-10,2027-03-09,"","817673","22.46538","113.9962","836220"
"South Coast","登峰南岸","1 Tang Fung Street, Aberdeen, Hong Kong","香港香港仔登豐街1號","34-17299","2015",2017-03-13,2027-03-12,"","833448","22.24938","114.14951","812290"
"Ho Shung Yuk Building","何崇鋈教學樓","26-32 Wong Ma Kok Road, Stanley, Hong Kong","香港赤柱黃麻角道26-32號","34-16615","2012 (Rev.1)",2017-03-15,2027-03-14,"","840217","22.21221","114.21517","808175"
"Heya Crystal - Tower 3","喜薈–第三座","399 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道399號","34-17400","2012",2017-03-17,2027-03-16,"","833987","22.33932","114.15473","822250"
"Carpark Phase 2","停車場二期","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-17199","2012",2017-03-20,2027-03-19,"","837903","22.33528","114.19275","821802"
"Parkcrest","鉑峯","7-8 Ying Wa Terrace, Sai Ying Pun, Hong Kong","香港西營盤英華臺7-8號","34-02905","2012",2017-03-20,2027-03-19,"","832737","22.28482","114.14261","816216"
"Queen Elizabeth Hospital Ambulatory Care Centre Extension (Block T)","伊利沙伯醫院日間醫療中心新翼 (T座)","30 Gascoigne Road, Kowloon","九龍加士居道30號","34-02847","2012",2017-03-20,2027-03-19,"","836158","22.30843","114.1758","818830"
"Orchid House","蘭花樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01316","2012",2017-03-20,2027-03-19,"","834082","22.34176","114.15566","822520"
"Marigold House","壽菊樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01317","2012",2017-03-20,2027-03-19,"","834163","22.34186","114.15644","822531"
"Peony House","牡丹樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01318","2012",2017-03-20,2027-03-19,"","821059","22.44285","114.02912","833722"
"Cedar House","金松樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01319","2012",2017-03-20,2027-03-19,"","834316","22.34113","114.15792","822450"
"Willow House","綠柳樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01320","2012",2017-03-20,2027-03-19,"","834180","22.34136","114.15661","822475"
"Cherry House","櫻桃樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-01321","2012",2017-03-20,2027-03-19,"","834337","22.34126","114.15813","822465"
"So Uk Estate Management Office Building","蘇屋邨辦事處大樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-10896","2012",2017-03-20,2027-03-19,"","841420","22.32922","114.22688","821132"
"Carpark No.1","一號停車場","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-07620","2012",2017-03-20,2027-03-19,"","840959","22.27812","114.22239","815474"
"Maple House","楓林樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-17322","2012",2017-03-20,2027-03-19,"","837723","22.38312","114.191","827100"
"So Uk Amenity and Community Building","蘇屋社區綜合服務大樓","Po On Road, Sham Shui Po, Kowloon","九龍深水埗保安道","34-06454","2012",2017-03-20,2027-03-19,"","834014","22.34114","114.15499","822451"
"Tin Shui Wai Hospital","天水圍醫院","Tin Tan Street, Area 32, Tin Shui Wai, Yuen Long, N.T.","新界元朗天水圍第32區天壇街","34-01544","2012",2017-04-03,2027-04-02,"","817582","22.45833","113.99533","835440"
"Castle One","Castle One","1 Castle Road, Midlevels, Hong Kong","香港半山衛城道一號","34-07058","2012 (Rev.1)",2017-04-05,2027-04-04,"","833602","22.28167","114.15101","815866"
"The Morgan","敦皓","31 Conduit Road, Central & Western, Hong Kong","香港中西區干德道31號","34-06874","2012",2017-04-07,2027-04-06,"","833391","22.2803","114.14896","815715"
"Heya Aqua – Club House","喜漾–會所","395 Un Chau Street, Sham Shui Po, Kowloon","九龍深水埗元州街395號","34-01627","2012",2017-04-10,2027-04-09,"","816310","22.46826","113.98296","836541"
"Heya Aqua – Residential Care Home for Elderly (RCHE)","喜漾–安老院舍","502 Fuk Wing Street, Sham Shui Po, Kowloon","九龍深水埗福榮街502號","34-17500","2012",2017-04-10,2027-04-09,"","836701","22.33448","114.18108","821714"
"Heya Aqua – Shop 1, 2, 3, 4 & Basement","喜漾–店舖1, 2, 3, 4及地庫","393, 395, 397, 399 Un Chan Street and 500 Fuk Wing Street, Sham Shui Po, Kowloon","九龍深水埗元州街393, 395, 397, 399號及福榮街500號","34-17501","2012",2017-04-10,2027-04-09,"","833941","22.33872","114.15428","822184"
"39 South Bay Road","39 South Bay Road","No. 39 South Bay Road, Nam Wan, Hong Kong","香港南灣南灣道39號","34-10977","2012 (Rev.1)",2017-04-11,2027-04-10,"","838528","22.23155","114.1988","810316"
"YMT Hotel Hong Kong","迅華酒店","197 Reclamation Street, Mongkok, Kowloon","九龍旺角新塡地街197號","34-16336","2012 (Rev.1)",2017-04-12,2027-04-11,"","835423","22.31336","114.16867","819375"
"The Urban Edition","晞品","8 Mui Hing Street, Happy Valley, Hong Kong","香港跑馬地梅馨街8號","34-02709","2012",2017-04-13,2027-04-12,"","837338","22.26653","114.18725","814190"
"Yuen Long Leisure and Cultural Building","元朗文化康樂大樓","No. 52 Ma Tin Road, Yuen Long, New Territories","新界元朗馬田路52號","34-07196","2012",2017-04-13,2027-04-12,"","820521","22.44133","114.0239","833554"
"Jockey Club Home for Hospice","賽馬會善寧之家","18 A Kung Kok Shan Road, Shatin, N.T.","新界沙田亞公角山路18號","34-07564","2012",2017-04-26,2027-04-25,"","840234","22.39835","114.21539","828787"
"Goldin Financial Global Centre","高銀金融國際中心","17 Kai Cheung Road, Kowloon Bay, Kowloon","九龍九龍灣啟祥道17號","34-06920","2012",2017-04-26,2027-04-25,"","839324","22.32573","114.20654","820745"
"Sin Tat House (Block 2)","善達樓 (二座)","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01372","2012",2017-04-28,2027-04-27,"","842286","22.31988","114.23528","820098"
"Lai Tat House (Block 3)","禮達樓 (三座)","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01373","2012",2017-04-28,2027-04-27,"","842251","22.32037","114.23495","820153"
"Chi Tat House (Block 4)","智達樓 (四座)","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01374","2012",2017-04-28,2027-04-27,"","842184","22.32074","114.2343","820194"
"Yan Tat House (Block 1)","仁達樓 (一座)","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-01371","2012",2017-04-28,2027-04-27,"","842330","22.31941","114.23571","820046"
"Proposed Hotel Development","擬建酒店發展","11-13 Eastern Street, Sai Ying Pun, Hong Kong","香港西營盤東邊街11-13號","34-16091","2012 (Rev.1)",2017-05-04,2027-05-03,"","835768","22.28128","114.17203","815823"
"Building 20E","20E座","Hong Kong Science Park Phase 3, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角香港科學園第三期","34-07246","2012 (Rev.1)",2017-05-05,2027-05-04,"","839697","22.42842","114.21018","832116"
"Building 22E","22E座","Hong Kong Science Park Phase 3, Pak Shek Kok, Tai Po, N.T.","新界大埔白石角香港科學園第三期","34-07247","2012 (Rev.1)",2017-05-05,2027-05-04,"","839629","22.42885","114.20952","832164"
"Kwun Tong Swatow Baptist Church","觀潮浸信會","11 Tsui Ping Road, Kwun Tong, Kowloon","九龍觀塘翠屏道11號","34-10895","2012 (Rev.1)",2017-05-05,2027-05-04,"","841687","22.31242","114.22947","819272"
"Kum On Hin","錦安軒","128-130 Nga Tsin Wai Road, Kowloon City, Kowloon","九龍九龍城衙前圍道128-130號","34-16335","2012 (Rev.1)",2017-05-05,2027-05-04,"","837399","22.32914","114.18785","821123"
"St. Paul's Hospital - Block B","聖保祿醫院B座大樓","2 Eastern Hospital Road, Causeway Bay, Hong Kong","香港銅鑼灣東院道2號","34-01323","2012",2017-05-10,2027-05-09,"","837409","22.27749","114.18794","815404"
"285 Hong Kin Road","康健路285號","No. 285 Hong Kin Road, Sai Kung, N.T.","新界西貢康健路285號","34-07094","2012",2017-05-11,2027-05-10,"","846225","22.3778","114.27356","826514"
"The Beaumount II (Tower 1)","峻瀅 II (第一座)","6 Shek Kok Road, Tseung Kwan O Area 85 Site B, N.T.","新界將軍澳第85B區石角路6號","34-01780","2012",2017-05-11,2027-05-10,"","846329","22.29658","114.27451","817520"
"The Beaumount II (Tower 2)","峻瀅 II (第二座)","6 Shek Kok Road, Tseung Kwan O Area 85 Site B, N.T.","新界將軍澳第85B區石角路6號","34-01781","2012",2017-05-11,2027-05-10,"","846329","22.29658","114.27451","817520"
"The Beaumount II (Tower 3)","峻瀅 II (第三座)","6 Shek Kok Road, Tseung Kwan O Area 85 Site B, N.T.","新界將軍澳第85B區石角路6號","34-01782","2012",2017-05-11,2027-05-10,"","846329","22.29658","114.27451","817520"
"The Beaumount II (Podium)","峻瀅 II (平台)","6 Shek Kok Road, Tseung Kwan O Area 85 Site B, N.T.","新界將軍澳第85B區石角路6號","34-01783","2012",2017-05-11,2027-05-10,"","846290","22.29675","114.27413","817539"
"Ching Tat House, On Tat Estate","安達邨 正達樓","3 On Chui Street, Sau Mau Ping, Kowloon","九龍秀茂坪安翠街3號","34-05962","2012",2017-05-12,2027-05-11,"","842390","22.32019","114.2363","820133"
"Upper West","奧城‧西岸","18-20 Fuk Chak Street, Tai Kok Tsui, Kowloon","九龍大角咀福澤街18-20號","34-05820","2012",2017-05-12,2027-05-11,"","834649","22.32042","114.16116","820157"
"Little Tai Hang","小大坑","98 Tung Lo Wan Road, Tin Hau, Hong Kong","香港天后銅鑼灣道98號","34-06438","2012",2017-05-22,2027-05-21,"","837668","22.26295","114.19046","813794"
"Expo Shop","史達科技旗艦店","TL-310M, Tomorrowland, Hong Kong Disneyland Park, Hong Kong Disneyland Resort, Lantau Island, Hong Kong","香港大嶼山香港廸士尼度假區香港廸士尼樂園明日世界TL-310M","34-07001","2012",2017-05-23,2027-05-22,"","839743","22.42539","114.21063","831781"
"Iron Man Experience","鐵甲奇俠飛行之旅","TL-310S, Tomorrowland, Hong Kong Disneyland Park, Hong Kong Disneyland Resort, Lantau Island, Hong Kong","香港大嶼山香港廸士尼度假區香港廸士尼樂園明日世界TL-310S","34-07128","2012",2017-05-23,2027-05-22,"","827034","22.43323","114.08718","832652"
"H‧Bonaire","倚南","68 Main Street, Ap Lei Chau, Ap Lei Chau,  Hong Kong","香港鴨脷洲鴨脷洲大街68號","34-07089","2012",2017-05-24,2027-05-23,"","834083","22.24423","114.15568","811721"
"Le Prince","禮悅","279 Prince Edward Road West, Homantin, Kowloon","九龍何文田太子道西279號","34-16577","2012 (Rev.1)",2017-05-24,2027-05-23,"","834006","22.28091","114.15492","815782"
"China Unicom (Hong Kong) Global Center (Office Portion)","中國聯通(香港)環球中心 (辦公室部分)","Chun Wang Street, Tseung Kwan O Industrial Estate, N.T.","新界將軍澳工業村駿宏街","34-10897","2012 (Rev.1)",2017-05-24,2027-05-23,"","842780","22.27323","114.24006","814932"
"VIVA","VIVA","Nos. 77, 79, 81, 83, 85 & 87, Ma Tau Wai Road, Hung Hom, Kowloon","九龍紅磡馬頭圍道77,79,81,83,85及 87號","34-10958","2012 (Rev.1)",2017-05-26,2027-05-25,"","837398","22.31266","114.18784","819298"
"Fat Cheong Group Building","發昌集團大廈","93 Wai Yip Street, Kwun Tong, Kowloon","九龍觀塘偉業街93號","34-11087","2012 (Rev.1)",2017-05-26,2027-05-25,"","814793","22.39727","113.96832","828682"
"Giovane","青薈","201-203 Castle Peak Road, Cheung Sha Wan, Kowloon","九龍長沙灣青山道201-203號","34-05958","2012",2017-05-26,2027-05-25,"","834444","22.33605","114.15917","821888"
"Heya Crystal - Club House","喜薈–會所","399 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道399號","34-17497","2012",2017-06-01,2027-05-31,"","835907","22.36852","114.17337","825484"
"Proposed House Development (Carpark for House 1-6 & E&M Plantroom Block)","Proposed House Development (Carpark for House 1-6 & E&M Plantroom Block)","Kwun Fat Street, Tuen Mun, N.T.","新界屯門冠發街","34-06910","2012",2017-06-05,2027-06-04,"","848260","22.27794","114.29323","815458"
"Proposed House Development (Carpark for House 7-16)","Proposed House Development (Carpark for House 7-16)","Kwun Fat Street, Tuen Mun, N.T.","新界屯門冠發街","34-06911","2012",2017-06-05,2027-06-04,"","848260","22.27794","114.29323","815458"
"Remand Block, Tai Lam Centre for Women, CSD","懲教署大欖女懲教所還押在囚人士大樓","110 Tai Lam Chung Road, Tuen Mun, N.T.","新界屯門大欖涌道110號","34-07142","2012",2017-06-06,2027-06-05,"","820640","22.37267","114.02513","825951"
"Yuet Chuen House","月泉樓","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-01329","2012",2017-06-15,2027-06-14,"","838331","22.3721","114.1969","825880"
"Ying Chuen House","映泉樓","Pok Chuen Street, Sha Tin, N.T.","新界沙田博泉街","34-01330","2012",2017-06-15,2027-06-14,"","838318","22.37168","114.19678","825833"
"Gleneagles Hong Kong Hospital - Tower A (North Block) from 5/F to R/F","港怡醫院 - A座(北面大樓)五樓至天台","No. 1 Nam Fung Path, Wong Chuk Hang, Hong Kong","香港黃竹坑南風徑1號","34-17570","2012 (Rev.1)",2017-06-19,2027-06-18,"","839497","22.31631","114.20821","819703"
"Gleneagles Hong Kong Hospital - Tower B (South Block) from 5/F to R/F","港怡醫院 - B座(南面大樓)五樓至天台","No. 1 Nam Fung Path, Wong Chuk Hang, Hong Kong","香港黃竹坑南風徑1號","34-17571","2012 (Rev.1)",2017-06-19,2027-06-18,"","836205","22.25212","114.17626","812593"
"Shue Yan University Research Complex - Lower Ground Floors","樹仁大學研究院綜合大樓 - 地下低層","6 Wai Tsui Crescent, Braemar Hill, North Point, Hong Kong","香港北角寶馬山慧翠道6號","34-07349","2012",2017-06-20,2027-06-19,"","838553","22.28591","114.19905","816335"
"iclub Ma Tau Wai Hotel","富薈馬頭圍酒店","8 Ha Heung Road, To Kwa Wan, Kowloon","九龍土瓜灣下鄉道8號","34-07666","2012 (Rev.1)",2017-06-21,2027-06-20,"","837494","22.31621","114.18878","819691"
"Shue Yan University Research Complex - Low Block","樹仁大學研究院綜合大樓 - 低座","6 Wai Tsui Crescent, Braemar Hill, North Point, Hong Kong","香港北角寶馬山慧翠道6號","34-07350","2012",2017-06-21,2027-06-20,"","838553","22.28591","114.19905","816335"
"Mount Pavilia - Basement","傲瀧 - 地庫","663 Clear Water Bay Road, Sai Kung, N.T.","新界西貢清水灣道663號","34-05874","2012",2017-06-21,2027-06-20,"","844872","22.33582","114.2604","821865"
"Peninsula East","Peninsula East","No. 9 Shung Yiu Street, Nos. 3, 5, 7, 9 & 11 Tung Yuen Street and 3 Shung Tak Wai, Yau Tong, Kowloon","九龍油塘崇耀街9號，東源街3、5、7、9、11號及崇德圍3號","34-07342","2012",2017-06-23,2027-06-22,"","842197","22.29402","114.23441","817235"
"Shue Yan University Research Complex - High Block (Excluding hostel area)","樹仁大學研究院綜合大樓 - 高座(宿舍大樓除外)","6 Wai Tsui Crescent, Braemar Hill, North Point, Hong Kong","香港北角寶馬山慧翠道6號","34-07351","2012",2017-06-26,2027-06-25,"","838553","22.28591","114.19905","816335"
"Kensington Hill","Kensington Hill","Nos. 92-98 High Street & Nos. 39-45 Western Street, Central and Western District, Hong Kong","香港中西區高街92-98號及西邊街39-45號","34-07369","2012 (Rev.1)",2017-07-06,2027-07-05,"","832524","22.28502","114.14054","816238"
"Heya Crystal - Tower 1","喜薈–第一座","399 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道399號","34-17398","2012",2017-07-06,2027-07-05,"","833987","22.33932","114.15473","822250"
"Heya Crystal - Tower 2","喜薈–第二座","399 Castle Peak Road, Sham Shui Po, Kowloon","九龍深水埗青山道399號","34-17399","2012",2017-07-06,2027-07-05,"","833987","22.33932","114.15473","822250"
"Ying Hoi House, Sha Tau Kok Chuen","沙頭角邨迎海樓","23 Shun Hing Street, Sha Tau Kok, New Territories","新界沙頭角順興街23號","34-16636","2012 (Rev.1)",2017-07-07,2027-07-06,"","841061","22.54483","114.22347","845008"
"Caritas Institute of Higher Education","明愛專上學院","Chui Ling Lane, Tseung Kwan O, N.T.","新界將軍澳翠嶺路","34-07796","2012 (Rev.1)",2017-07-12,2027-07-11,"","843932","22.30355","114.25125","818291"
"Extension (Phase 1) for Hong Chi Association Advanced Training Centre","匡智賽馬會松嶺宿舍","Pinehill Village, Chung Nga Road, Tai Po, N.T.","新界大埔頌雅路松嶺村","34-16367","2012 (Rev.1)",2017-07-12,2027-07-11,"","837123","22.30375","114.18517","818311"
"Jones Hive","雋琚","8 Jones Street, Tai Hang, Hong Kong","香港大坑重士街8號","34-07872","2012 (Rev.1)",2017-07-18,2027-07-17,"","837740","22.27826","114.19115","815489"
"Alassio (Carpark)","殷然(車場)","100 Caine Road, Mid-levels West, Hong Kong","香港半山區西部堅道100號","34-05881","2012",2017-08-02,2027-08-01,"","841855","22.31276","114.23109","819310"
"Alassio (Clubhouse)","殷然(會所部份)","100 Caine Road, Mid-levels West, Hong Kong","香港半山區西部堅道100號","34-05882","2012",2017-08-02,2027-08-01,"","843813","22.43043","114.25017","832341"
"Alassio (Residential)","殷然(住宅及公共部份)","100 Caine Road, Mid-levels West, Hong Kong","香港半山區西部堅道100號","34-05883","2012",2017-08-02,2027-08-01,"","826087","22.44264","114.07797","833695"
"Heya Aqua – Tower 1","喜漾–第一座","395 Un Chau Street, Sham Shui Po, Kowloon","九龍深水埗元州街395號","34-17487","2012",2017-08-04,2027-08-03,"","833967","22.33888","114.15454","822201"
"Heya Aqua – Tower 2","喜漾–第二座","395 Un Chau Street, Sham Shui Po, Kowloon","九龍深水埗元州街395號","34-17488","2012",2017-08-04,2027-08-03,"","833967","22.33888","114.15454","822201"
